,cardId,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardImage,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter0Tri,cardFilter5Display,cardSection5Text,cardSection6Text,isNew,parameter,cardSection1Text,cardSection2Text,cardInfo1,cardInfo2,cardTitre,cardSection4Text,cardFilter1Display,cardFilter2Display,cardFilter3Display,cardFilter5Tri,cardFilter6Display,cardFilter6Tri,cardSection1Title,cardSection3Title,cardSection3Text,cardSection4Title,cardSection5Title,cardSection6Title,cardSection7Title,cardSection7Text,cardFilter4DisplaySingular
0,1,f-plus-40,f-alemanique,f-homme,img/2018/Marco_Abele_Portrait.jpg,"Fondateur et CEO de Tend, Zoug",f-tech-leaders,Leaders,,Finance,,https://www.linkedin.com/in/marcoabele,is-new,marco-abele,"De responsable numérique au CS à entrepreneur de start-up: en octobre 2017, Marco Abele a troqué son costume sur mesure contre un jean et un t-shirt, et fondé la société Tend. La plateforme d’échange offre des expériences d’un type particulier: les clients peuvent, par exemple, réserver un voyage dans une Porsche 356A Speedster de 1955 ou faire une excursion privée dans une cave à vin en recevant 18 bouteilles de grands vins par an. Tend s’occupe de l’ensemble du pack zéro souci, moyennant un supplément bien sûr. Les clients peuvent payer ces expériences de luxe avec ce qu’on appelle des jetons, des avoirs numériques protégés par une blockchain.
«Avec Tend, je veux atteindre un large public qui enrichit sa vie et vit ses rêves», explique l’Allemand de 49 ans. C’est le même désir qui l’a aidé à passer du monde du corporate au monde de la start-up. Les produits Tend ont été lancés cette année en Suisse. Pour 2019, Abele veut se développer au-delà des frontières helvétiques: «Dans quatre à cinq ans, je veux être présent dans les métropoles des marchés émergents.»",,"Fondateur et CEO de Tend, Zoug",49 ans,Marco Abele,,,,,,,,,,,,,,,,leaders
1,2,f-moins-40,f-romand,f-homme,img/2018/Pedro_Bados.jpg,"CEO et cofondateur de Nexthink, Lausanne",f-unicorn-raisers,Éleveurs de licornes,,Services informatiques,https://www.letemps.ch/economie/societe-lausannoise-nexthink-leve-40-millions-dollars,https://ch.linkedin.com/in/pbados,is-new,pedro-bados,"«2017 a été une année incroyable. Nous avons gagné plus de 200 nouveaux clients», explique Pedro Bados. Aujourd’hui, plus de 850 clients utilisent les produits de l’entreprise lausannoise de logiciels, dont des gouvernements, des banques nationales et des entreprises comme Migros, Deloitte ou Amag. Nexthink examine attentivement les programmes de calculs de l’entreprise et analyse la qualité des services informatiques utilisés du point de vue de l’employé. L’idée de Nexthink est venue à Pedro Bados en 2004, avec ses camarades Vincent Bieri et Patrick Hertzog, lors d’un projet de recherche sur l’intelligence artificielle à l’EPFL. «Le département informatique fournit ses services à l’utilisateur final, sans disposer ni de la transparence nécessaire ni des bonnes informations pour déterminer si l’utilisateur utilise ces services et s’il en a besoin», explique Pedro Bados. Le Suisse a étudié l’électrotechnique et l’informatique à l’Université de Saragosse, en Espagne.",,"CEO et cofondateur de Nexthink, Lausanne",38 ans,Pedro Bados,Comment la société lausannoise Nexthink a levé 40 millions de dollars,,,,,,,,,,,,,,,éleveurs de licornes
2,3,f-plus-40,f-alemanique,f-homme,img/2018/Nick_Beglinger_portrait.jpg,"Cofondateur et CEO de Cleantech21, Zurich",f-do-gooders,Bienfaiteurs,,Développement durable,,https://ch.linkedin.com/in/nick-beglinger-84a23b,is-new,nick-beglinger,"Jusqu’en 2016, Nick Beglinger a été président de l’association professionnelle Swisscleantech, consacrée à l’économie durable et issue en 2009 de la fondation à but non lucratif Cleantech21. Cette dernière est la principale occupation de Nick Beglinger, aujourd’hui âgé de 48 ans. «La durabilité doit devenir la norme», selon le site web de la fondation. Nick Beglinger veut construire un réseau d’entreprises actives au niveau mondial, pour mettre en œuvre à long terme les objectifs de l’Accord de Paris sur le climat. Il faut inciter le politique à mettre en œuvre les conditions-cadres d’une économie durable, par le biais d’initiatives et de projets.
Le prix du CO2, un montant à payer pour les émissions de dioxyde de carbone, lui tient particulièrement à cœur, lui qui donne des conférences et écrit des articles à ce sujet. Avant de passer à l’économie verte, l’entrepreneur était consultant chez McKinsey et chez le Boston Consulting Group. Il est titulaire d’une maîtrise de la London School of Economics et aime jouer au piano ou au football avec ses amis pendant son temps libre.",,"Cofondateur et CEO de Cleantech21, Zurich",48 ans,Nick Beglinger,,,,,,,,,,,,,,,,bienfaiteurs
3,4,f-moins-40,f-alemanique,f-homme,img/2018/Marc_P_Bernegger_Wikipedia.jpg,"Entrepreneur en fintech et investisseur, Zurich",f-serial-entrepreneurs,Serial entrepreneurs,,Finance,https://www.letemps.ch/economie/apple-pourrait-ainsi-devenir-un-acteur-majeur-suisse,https://ch.linkedin.com/in/marcpbernegger,not-new,marc-bernegger,"Spécialiste des fintech, Marc Bernegger se concentre actuellement sur les monnaies électroniques. Il constate, comme instigateur de la conférence Krypto Finance à Saint-Moritz ou en tant qu’actionnaire et membre du conseil d’administration du groupe Krypto Finance fort de 40 employés à Zurich, que «la demande pour entrer dans ce monde est forte, même de la part d’investisseurs conservateurs». Marc Bernegger est également le fondateur de Next Generation Finance Invest. Mais la récente entrée en bourse de la filiale zougoise Ayondo à Singapour a été un échec, l’action étant cotée bien en dessous du prix d’émission: «Il y avait probablement trop de rêves futuristes», dit-il en faisant son autocritique.
Marc Bernegger fait partie du conseil d’administration de la banque Falcon, où il est responsable du dossier de la numérisation. Après le scandale autour du fonds d’Etat malais 1MDB, la banque est en restructuration: «Assurer la survie d’une entreprise peut être une expérience passionnante», affirme-t-il. Marc Bernegger a posé la pierre fondatrice de son entreprise dans les années 1990, avec Usgang.ch (vendu à Axel Springer) et la plateforme de billetterie Amiando (vendue à Xing).",,"Entrepreneur en fintech et investisseur, Zurich",39 ans,Marc Bernegger,«Apple pourrait ainsi devenir un acteur majeur en Suisse»,,,,,,,,,,,,,,,serial entrepreneurs
4,5,f-plus-40,f-romand,f-femme,img/2018/Sonja_Betschart_Portrait.jpg,"Cofondatrice de WeRobotics, Genève",f-do-gooders,Bienfaiteurs,,Recherche,https://www.letemps.ch/economie/lamericain-werobotics-sinstalle-geneve,https://ch.linkedin.com/in/sonjabetschart,is-new,sonja-betschart,"Passion, inspiration, innovation, ce sont les outils avec lesquels la cofondatrice de WeRobotics, Sonja Betschart, pense l’avenir. Pour la spécialiste du marketing et de la gestion, les robots ont leur place dans la société. «Je suis convaincue que les technologies de la quatrième révolution industrielle comme les drones et l’intelligence artificielle devraient être rendues accessibles aux personnes les plus faibles de la société», dit la directrice high-tech.</p><p>Sonja Betschart est une entrepreneuse avec un cœur et les nouvelles technologies à son service. Sa carrière l’a fait passer de postes dans diverses PME et grandes entreprises à des start-up des domaines de la transformation numérique et de l’industrie des drones. Pour l’ancienne développeuse numérique de Swisscom, les aides électroniques ne sont pas une menace, mais une aide. <a class=""readMore"" href=""#more"">Plus…</a>","Depuis deux ans et demi, Sonja Betschart travaille avec la société américano-suisse WeRobotics à la démocratisation des solutions high-tech, en particulier dans les économies émergentes d’Afrique et d’Amérique du Sud, en passant par l’Asie et le Pacifique. Et ceci, à l’aide de grands acteurs, comme le fabricant de drones chinois DJI et le français Parrot, le développeur de systèmes d’information géographique Esri, et des mécènes comme la Fondation Rockefeller et les fondations de géants informatiques et logiciels tels HP et Autodesk.
Pour elle, l’utilisation de drones et de l’intelligence artificielle pour l’aide humanitaire ou la protection de la nature est devenue une tâche mondiale, et a cessé depuis longtemps d’être un sujet de bricoleur local. Au contraire: avec WeRobotics, Sonja Betschart espère combler le fossé numérique et réunir la branche, les ONG et les gouvernements des pays en développement. «Nous développons des solutions pour l’aide au développement, ainsi que pour les secteurs de la santé et de l’environnement.»
Elle a travaillé pour de petits agriculteurs en Tanzanie, comme incubatrice pour des compagnies de drones au Népal et anime des ateliers en coopération avec des gouvernements. Sonja Betschart veut «utiliser les technologies numériques de manière durable et sensée, et aider à démocratiser la participation du Sud à la quatrième révolution industrielle».","Cofondatrice de WeRobotics, Genève",48 ans,Sonja Betschart,L’Américain WeRobotics s’installe à Genève,,,,,,,,,,,,,,,bienfaiteurs
5,6,f-moins-40,f-alemanique,f-homme,img/2018/Lucas_Betschart_Portrait.jpg,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",f-enabler,Facilitateurs,,Finance,,https://ch.linkedin.com/in/lucasbetschart,is-new,lucas-betschart,"Entre économistes, la blockchain et les monnaies cryptographiques figurent parmi les sujets les plus controversés. Le bitcoin, la monnaie numérique la plus connue, est un peu discrédité par la violente turbulence des prix. Lucas Betschart a une position difficile dans ce champ de tensions. L’informaticien de formation se bat depuis des années en première ligne pour que le public soit mieux informé sur les monnaies cryptographiques et les blockchains. Il s’est fait un nom comme président de la Bitcoin Association Switzerland, fondée en 2013; l’association promeut les monnaies numériques et se considère comme l’interlocutrice de l’Autorité fédérale de surveillance des marchés financiers (Finma). Il est également directeur exécutif de la fondation à but non lucratif Feathercoin Development Foundation, conférencier invité et fondateur de l’entreprise.
Comme pionnier du bitcoin, Lucas Betschart a un solide savoir-faire en matière de systèmes décentralisés et de cryptographie. Il est convaincu que la plupart des monnaies numériques disparaîtront. Mais il croit fermement au bitcoin: «C’est de loin la plus stable, la plus ancienne, la plus répandue et la plus sûre de toutes les monnaies cryptographiques.»",,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",26 ans,Lucas Betschart,,,,,,,,,,,,,,,,facilitateurs
6,7,f-plus-40,f-romand,f-homme,img/2018/Jurgi_Camblong_Portrait.jpg,"Cofondateur et CEO de Sophia Genetics, Genève",f-unicorn-raisers,Éleveurs de licornes,,Recherche, https://www.letemps.ch/economie/fondateur-sophia-genetics-nomme-entrepreneur-lannee,https://www.linkedin.com/in/jurgicamblong/,not-new,jurgi-camblong,"Jurgi Camblong parle d’une «révolution» de la médecine basée sur les données, en citant son entreprise: Sophia Genetics développe des logiciels et des plateformes de données qui utilisent l’analyse du génome pour diagnostiquer des maladies comme le cancer. En ce moment, l’entreprise recueille des données auprès de 415 hôpitaux dans 58 pays. «Plus les hôpitaux utilisent notre plateforme d’analyse et plus nous avons de profils génomiques analysés, plus notre intelligence artificielle croît», selon le biochimiste qui a étudié à Lausanne, à Genève et à Oxford. Avec une croissance de 400% par an, la start-up est considérée comme l’une des prochaines licornes suisses.",,"Cofondateur et CEO de Sophia Genetics, Genève",40 ans,Jurgi Camblong,«Le fondateur de Sophia Genetics nommé entrepreneur de l'année» ,,,,,,,,,,,,,,,éleveurs de licornes
7,8,f-plus-40,f-italienne,f-femme,img/2018/Nicoletta_Casanova_Portrait.jpg,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",f-tech-leaders,Leaders,,Recherche,,https://www.linkedin.com/in/nicoletta-casanova-61b249/,is-new,nicoletta-casanova,"Son premier emploi, elle le trouva dans une start-up qui testait des matériaux. Puis Nicoletta Casanova préféra fonder sa propre entreprise. Deux ans après son diplôme de l’EPFZ est née Smartec, pionnière en matière de surveillance des ponts, barrages et structures d’immeubles à l’aide de senseurs. Sa nouvelle entreprise se nomme FEMTOprint, elle hisse l’impression 3D à un niveau inédit. La technologie est, dit-on, plus rapide, plus précise et plus avantageuse. Elle ne concerne que des matériaux transparents tels que le verre. La forme désirée est taillée dans la masse brute à l’aide d’un laser qui travaille dans une longueur d’onde de 600 nanomètres. «La technologie nous permet de transformer un morceau de verre directement en produit fini», assure Nicoletta Casanova. Imaginons par exemple un mouvement d’horlogerie précis et entièrement terminé qui naîtrait d’un seul bloc. Une fois que le laser a découpé la forme souhaitée, la masse résiduelle est enlevée à l’aide d’un acide.
FEMTOprint est un spin-off d’un projet du même nom de l’UE, auquel travaillent, outre la Suisse, des équipes venues de France, d’Allemagne, de Grande-Bretagne et des Pays-Bas, et dont le financement est de 3,4 millions d’euros. Après sa fondation en 2013, l’idée était de fabriquer des machines et de les vendre. Mais après quelque temps, les clients préférèrent recevoir leurs pièces toutes prêtes, fabriquées par FEMTOprint. A l’aide de sa technologie, Nicoletta Casanova couvre un large éventail: la manufacture de montres Ulysse Nardin fait partie de ses clients, Medtronic et Oticon représentent les medtechs. Les télécoms, les sciences naturelles, l’optique et l’industrie automobile recourent aussi à sa technologie.
Nicoletta Casanova dit être animée par sa passion pour l’innovation. A 8 ans, elle donnait un coup de main dans l’hôtel de ses parents: «La vie m’a beaucoup enseigné. J’ai appris tant de choses en pratiquant le learning by doing.» FEMTOprint devrait continuer de croître. En attendant, sa patronne a aussi des projets privés: rénover une vieille grange dans les Alpes, faire du snowboard, du parapente et se remettre intensivement à la plongée.",,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",47 ans,Nicoletta Casanova,,,,,,,,,,,,,,,,leaders
8,9,f-plus-40,f-romand,f-homme,img/2018/Filippo_Catalano_Portrait.jpg,"CIO du groupe Nestlé, Vevey",f-corporates,Grandes entreprises,,Agroalimentaire,,https://www.linkedin.com/in/filippocatalano/,is-new,filippo-catalano,"Sa description du poste laisse songeur: il doit numériser l’entreprise suisse qui a la plus grande valeur. Chief information chez Nestlé depuis janvier, Filippo Catalano a une tâche colossale. Comme directeur technique et numérique d’une entreprise active dans 189 pays, il se doit d’avoir une grande vision de Nestlé de demain. «Nous devons importer et faire fonctionner certaines de nos technologies clés sur de nouvelles plateformes», dit Filippo Catalano pour décrire ses premiers projets. Il doit également introduire des projets d’automatisation. «Tous les membres de l’organisation, et à tous les niveaux, doivent sans cesse apprendre pour que nous restions à l’avant-garde.»</p><p>Filippo Catalano a eu trois ans pour connaître l’entreprise et ses besoins en détail. Engagé en mars 2015 comme Chief digital operations officer, il était responsable des plateformes numériques de l’entreprise, du web, des médias sociaux, des applications et de l’analyse de la clientèle. Son projet phare a été la construction du Nestlé Global Digital Hub à Barcelone. Auparavant, Filippo Catalano a travaillé pendant quinze ans pour Procter & Gamble, un groupe de biens de consommation. <a class=""readMore"" href=""#more"">Plus…</a>","Le départ à la retraite de Terence Stacey, son prédécesseur comme CIO de Nestlé, permet désormais à Filippo Catalano de diffuser ses idées et visions dans toute l’organisation. Il rêve que Nestlé puisse mieux connaître ses clients grâce aux wearables (technologie portable). Par exemple, un robot pourrait conseiller un client «pour l’aider à améliorer son alimentation et mieux comprendre son propre corps et sa santé». L’internet des objets (IDO) est également en haut de la liste de ses priorités. «L’IDO devient une plateforme pour les entreprises vendant des produits et des machines qui se connectent.» L’activité café du groupe se prête particulièrement bien aux applications. «Certains projets pionniers sont déjà en cours dans ce domaine, mais il reste encore beaucoup à faire», déclare le numériseur de Nestlé.
Outre ces sujets technologiques d’avant-garde, Filippo Catalano a aussi une passion pour les techniques plus terre à terre et les sports d’hiver: il collectionne des motos vintage de la marque Honda et veut «avaler davantage de kilomètres dans les stations de ski suisses l’hiver prochain».","CIO du groupe Nestlé, Vevey",46 ans,Filippo Catalano,,,,,,,,,,,,,,,,grandes entreprises
9,10,f-moins-40,f-romand,f-femme,img/2018/Caecilia_Charbonnier_Portrait.jpg,"Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive",f-creatives,Créatifs,,Recherche, https://www.letemps.ch/sciences/soigner-phobies-grace-realite-virtuelle,https://www.linkedin.com/in/caecilia-charbonnier-b218485/,is-new,caecilia-charbonnier,"A la fin des années 1990, Caecilia Charbonnier passait pour l’espoir de la relève du tennis féminin suisse. Mais une blessure sportive a mis un frein à sa carrière. Malgré une opération, elle a gardé des douleurs chroniques à l’épaule. A 18 ans, la Genevoise s’est donc retirée du sport de compétition. Mais depuis 2011, Caecilia Charbonnier est tout de même leader mondial, dans le domaine de la réalité virtuelle (VR). Avec sa société Artanim et la start-up Dreamscape Immersive fondée en 2016, elle développe une technologie qui révolutionne le monde du cinéma: le spectateur peut faire partie de l’aventure blockbuster. La technologie VR permet à plusieurs personnes de se déplacer, et même d’interagir simultanément, dans un espace virtuel.</p><p>Les investisseurs sont les studios américains Fox, MGM, Warner Bros, le réalisateur vedette Steven Spielberg, ou la plus grande chaîne de cinéma du monde, AMC Entertainment, qui a investi 41 millions de dollars. En Suisse, il y a trop peu d’investisseurs privés finançant la technologie VR. Quant au financement de la Confédération, il est pratiquement inexistant. <a class=""readMore"" href=""#more"">Plus…</a>","La technologie de Caecilia Charbonnier s’applique également à d’autres domaines que le cinéma: l’orthopédie et la médecine sportive. L’informaticienne doctorante s’occupe principalement de la création de simulations 3D en temps réel. Lorsque le patient a par exemple besoin d’une nouvelle hanche, le corps peut être modélisé de façon réaliste. Les séquences de mouvements peuvent ainsi être analysées et l’articulation idéale développée. Dans ce domaine de la biomécanique, Caecilia Charbonnier voit un potentiel de croissance: «Nous voulons personnaliser la médecine du futur», dit-elle. Marquée par sa propre expérience d'une blessure à l’épaule, le passage à la médecine lui a semblé naturel, ses deux parents et son frère étant actifs dans le domaine médical.
En coopération avec divers instituts, la femme de 37 ans mène aussi diverses recherches avec Artanim sur la question de l’instabilité de l’épaule. En plus de ses activités entrepreneuriales, elle est chargée de cours à l’Université de Genève au Département de médecine. Dans le privé, elle adore la plongée.","Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive",37 ans,Caecilia Charbonnier,«Soigner les phobies grâce à la réalité virtuelle» ,,,,,,,,,,,,,,,créatifs
