,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,cardSection6Text,URL,Image_URL,File exists
1,1,Marco Abele,"Fondateur et CEO de Tend, Zoug",f-tech-leaders,Tech Leaders,img/2018/Marco_Abele_Portrait.jpg,,DR? ,New,49 ans,f-plus-40,f-alemanique,f-homme,Finance,L’apport de l’intelligence artificielle à la finance|https://www.letemps.ch/economie/lapport-lintelligence-artificielle-finance,https://www.linkedin.com/in/marcoabele,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marco-abele,Marco_Abele_Portrait.jpg,yes
2,2,Pedro Bados,"CEO et cofondateur de Nexthink, Lausanne",f-unicorn-raisers,Unicorn raisers,img/2018/Pedro_Bados.jpg,,Eddy Mottaz,New,38 ans,f-moins-40,f-romand,f-homme,Services informatiques,Comment la société lausannoise Nexthink a levé 40 millions de dollars|https://www.letemps.ch/economie/societe-lausannoise-nexthink-leve-40-millions-dollars,https://ch.linkedin.com/in/pbados,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pedro-bados,Pedro_Bados.jpg,yes
3,3,Nick Beglinger,"Cofondateur et CEO de Cleantech21, Zurich",f-do-gooders,Do-Gooders,img/2018/Nick_Beglinger_portrait.jpg,,© Lukas Lehmann|Keystone ,New,48 ans,f-plus-40,f-alemanique,f-homme,Développement durable,(liens Le Temps),https://ch.linkedin.com/in/nick-beglinger-84a23b,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=nick-beglinger,Nick_Beglinger_portrait.jpg,yes
4,4,Marc Bernegger,"Entrepreneur en fintech et investisseur, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Marc_P_Bernegger_Wikipedia.jpg,,Beechpasty, ,39 ans,f-moins-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://ch.linkedin.com/in/marcpbernegger,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marc-bernegger,Marc_P_Bernegger_Wikipedia.jpg,yes
5,5,Sonja Betschart,"Cofondatrice de WeRobotics, Genève",f-do-gooders,Do-Gooders,img/2018/Sonja_Betschart_Portrait.jpg,,© David Wagnières,New,48 ans,f-plus-40,f-romand,f-femme,Recherche,L’Américain WeRobotics s’installe à Genève|https://www.letemps.ch/economie/lamericain-werobotics-sinstalle-geneve,https://ch.linkedin.com/in/sonjabetschart,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sonja-betschart,Sonja_Betschart_Portrait.jpg,yes
6,6,Lucas Betschart,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",f-enabler,Enabler,img/2018/Lucas_Betschart_Portrait.jpg,,Keystone Images,New,26 ans,f-moins-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://ch.linkedin.com/in/lucasbetschart,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=lucas-betschart,Lucas_Betschart_Portrait.jpg,yes
7,7,Jurgi Camblong,"Cofondateur et CEO de Sophia Genetics, Genève",f-unicorn-raisers,Unicorn raisers,img/2018/Jurgi_Camblong_Portrait.jpg,,© Tina Sturzenegger,,40 ans,f-plus-40,f-romand,f-homme,Recherche,(liens Le Temps),https://www.linkedin.com/in/jurgicamblong/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jurgi-camblong,Jurgi_Camblong_Portrait.jpg,yes
8,8,Nicoletta Casanova,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",f-tech-leaders,Tech Leaders,img/2018/Nicoletta_Casanova_Portrait.jpg,,© Claudio Bader,New,47 ans,f-plus-40,f-italienne,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/nicoletta-casanova-61b249/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=nicoletta-casanova,Nicoletta_Casanova_Portrait.jpg,yes
9,9,Filippo Catalano,"CIO du groupe Nestlé, Vevey",f-corporates,Corporates,img/2018/Filippo_Catalano_Portrait.jpg,,© François Wavre|Lundi 13,New,46 ans,f-plus-40,f-romand,f-homme,Agroalimentaire,(liens Le Temps),https://www.linkedin.com/in/filippocatalano/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=filippo-catalano,Filippo_Catalano_Portrait.jpg,yes
10,10,Caecilia Charbonnier,"Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive",f-creatives,Creatives,img/2018/Caecilia_Charbonnier_Portrait.jpg,,© Olivier Vogelsang,New,37 ans,f-moins-40,f-romand,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/caecilia-charbonnier-b218485/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=caecilia-charbonnier,Caecilia_Charbonnier_Portrait.jpg,yes
