,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL,Image_URL,File exists
1,1,Marco Abele,"Fondateur et CEO de Tend, Zoug",f-tech-leaders,Tech Leaders,img/2018/marco_abele.jpg,,DR? ,New,49 ans,,f-plus-40,f-alemanique,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marco+Abele”,https://www.linkedin.com/in/marcoabele,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marco-abele,marco_abele.jpg,yes
2,2,Pedro Bados,"CEO et cofondateur de Nexthink, Lausanne",f-unicorn-raisers,Unicorn raisers,img/2018/pedro_bados.jpg,,Eddy Mottaz,New,38 ans,,f-moins-40,f-romand,f-homme,Services informatiques,Comment la société lausannoise Nexthink a levé 40 millions de dollars|https://www.letemps.ch/economie/societe-lausannoise-nexthink-leve-40-millions-dollars,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Pedro+Bados”,https://ch.linkedin.com/in/pbados,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pedro-bados,pedro_bados.jpg,yes
3,3,Nick Beglinger,"Cofondateur et CEO de Cleantech21, Zurich",f-do-gooders,Do-Gooders,img/2018/nick_beglinger.jpg,,© Lukas Lehmann|Keystone ,New,48 ans,,f-plus-40,f-alemanique,f-homme,Développement durable,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Nick+Beglinger”,https://ch.linkedin.com/in/nick-beglinger-84a23b,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=nick-beglinger,nick_beglinger.jpg,yes
4,4,Marc Bernegger,"Entrepreneur en fintech et investisseur, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/marc_p_bernegger_wikipedia.jpg,,Beechpasty, ,39 ans,,f-moins-40,f-alemanique,f-homme,Finance,«Apple pourrait ainsi devenir un acteur majeur en Suisse»|https://www.letemps.ch/economie/apple-pourrait-ainsi-devenir-un-acteur-majeur-suisse,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marc+Bernegger”,https://ch.linkedin.com/in/marcpbernegger,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marc-bernegger,marc_p_bernegger_wikipedia.jpg,yes
5,5,Sonja Betschart,"Cofondatrice de WeRobotics, Genève",f-do-gooders,Do-Gooders,img/2018/sonja_betschart.jpg,,© David Wagnières,New,48 ans,,f-plus-40,f-romand,f-femme,Recherche,L’Américain WeRobotics s’installe à Genève|https://www.letemps.ch/economie/lamericain-werobotics-sinstalle-geneve,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sonja+Betschart”,https://ch.linkedin.com/in/sonjabetschart,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sonja-betschart,sonja_betschart.jpg,yes
6,6,Lucas Betschart,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",f-enabler,Enabler,img/2018/lucas_betschart.jpg,,Keystone Images,New,26 ans,,f-moins-40,f-alemanique,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Lucas+Betschart”,https://ch.linkedin.com/in/lucasbetschart,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=lucas-betschart,lucas_betschart.jpg,yes
7,7,Jurgi Camblong,"Cofondateur et CEO de Sophia Genetics, Genève",f-unicorn-raisers,Unicorn raisers,img/2018/jurgi_camblong.jpg,,© Tina Sturzenegger,,40 ans,,f-plus-40,f-romand,f-homme,Recherche,«Le fondateur de Sophia Genetics nommé entrepreneur de l'année» | https://www.letemps.ch/economie/fondateur-sophia-genetics-nomme-entrepreneur-lannee,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jurgi+Camblong”,https://www.linkedin.com/in/jurgicamblong/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jurgi-camblong,jurgi_camblong.jpg,yes
8,8,Nicoletta Casanova,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",f-tech-leaders,Tech Leaders,img/2018/nicoletta_casanova.jpg,,© Claudio Bader,New,47 ans,,f-plus-40,f-italienne,f-femme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Nicoletta+Casanova”,https://www.linkedin.com/in/nicoletta-casanova-61b249/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=nicoletta-casanova,nicoletta_casanova.jpg,yes
9,9,Filippo Catalano,"CIO du groupe Nestlé, Vevey",f-corporates,Corporates,img/2018/filippo_catalano.jpg,,© François Wavre|Lundi 13,New,46 ans,,f-plus-40,f-romand,f-homme,Agroalimentaire,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Filippo+Catalano”,https://www.linkedin.com/in/filippocatalano/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=filippo-catalano,filippo_catalano.jpg,yes
10,10,Caecilia Charbonnier,"Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive",f-creatives,Creatives,img/2018/caecilia_charbonnier.jpg,,© Olivier Vogelsang,New,37 ans,,f-moins-40,f-romand,f-femme,Recherche,«Soigner les phobies grâce à la réalité virtuelle» | https://www.letemps.ch/sciences/soigner-phobies-grace-realite-virtuelle,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Caecilia+Charbonnier”,https://www.linkedin.com/in/caecilia-charbonnier-b218485/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=caecilia-charbonnier,caecilia_charbonnier.jpg,yes
11,11,Alain Chuard,"Fondateur Swisspreneur.org, Palo Alto (Californie)",f-expats,Expats,img/2018/alain_chuard.jpg,http://mdb.ringier.ch/dcx_rng/documents#/doc/doc6vzzhih4dpc1jq6si1p2,Robert Houser,,45 ans,,f-plus-40,f-expat,f-homme,Services informatiques,«Un millionnaire de la Silicon Valley pour doper l’entrepreneuriat en Suisse» | https://www.letemps.ch/economie/un-millionnaire-silicon-valley-doper-lentrepreneuriat-suisse,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Alain+Chuard”,https://www.linkedin.com/in/alainchuard/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=alain-chuard,alain_chuard.jpg,yes
12,12,Kate Darling,"Ethicienne en robotique, Massachusetts Institute of Technology MIT, Boston",f-researchers,Researchers,img/2018/kate_darling.jpg,,DR? ,New,36 ans,,f-moins-40,f-expat,f-femme,Recherche,"«Il faut donner des droits aux robots, pour notre propre bien» | https://www.letemps.ch/sciences/faut-donner-droits-aux-robots-propre-bien",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Kate+Darling”,,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=kate-darling,kate_darling.jpg,yes
13,13,Christian Decker,"Ingénieur logiciel et chercheur chez Blockstream, Zurich",f-tech-leaders,Tech Leaders,img/2018/christian_decker.jpg,,© Joseph Khakshouri ,New,33 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christian+Decker”,https://www.linkedin.com/in/christiandecker/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christian-decker,christian_decker.jpg,yes
14,14,Marc Degen,"Cofondateur de Modum.io et de Moflix, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/marc_degen.jpg,,DR?,New,41 ans,,f-plus-40,f-alemanique,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marc+Degen”,https://www.linkedin.com/in/marcdegen/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marc-degen,marc_degen.jpg,yes
15,15,Paul-Olivier Dehaye,"CEO Personaldata.io, Lausanne",f-tech-leaders,Tech Leaders,img/2018/paul_olivier_dehaye.jpg,,© Olivier Vogelsang,New,37 ans,,f-moins-40,f-romand,f-homme,Services informatiques,«Facebook est désormais un puissant outil d’influence vendu au plus offrant» | https://www.letemps.ch/monde/facebook-desormais-un-puissant-outil-dinfluence-vendu-plus-offrant,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Paul-Olivier+Dehaye”,https://www.linkedin.com/in/paulolivierdehaye/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=paul-olivier-dehaye,paul_olivier_dehaye.jpg,yes
