cardId,Name,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter4DisplayBackup,Image,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL
(Ne pas toucher),,,,Automatique,,(backup),A trouver + cropper en 3:2 et renommer en nom.jpg,,,A vérifier / compléter,,"A vérifier / compléter
(f = filtre)",A compléter: romand / alémanique / f-expat,A compléter: genre,A compléter: secteur d’activité,A compléter avec un article (suivre le format texte|lien). Barre verticale: alt-7,,A compléter avec URL LinkedIn uniquement,
1,Marco Abele,marco-abele,"Fondateur et CEO de Tend, Zoug",f-leaders,Leaders,Tech Leaders,marco_abele.jpg,DR? ,New,49 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marco+Abele”,https://www.linkedin.com/in/marcoabele,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-marco-abele.html
2,Pedro Bados,pedro-bados,"CEO et cofondateur de Nexthink, Lausanne",f-entrepreneurs,Entrepreneurs,Unicorn raisers,pedro_bados.jpg,Eddy Mottaz,New,38 ans,,f-moins-40,f-romand,f-homme,Services informatiques,Comment la société lausannoise Nexthink a levé 40 millions de dollars|https://www.letemps.ch/economie/societe-lausannoise-nexthink-leve-40-millions-dollars,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Pedro+Bados”,https://ch.linkedin.com/in/pbados,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-pedro-bados.html
3,Nick Beglinger,nick-beglinger,"Cofondateur et CEO de Cleantech21, Zurich",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,nick_beglinger.jpg,© Lukas Lehmann|Keystone ,New,48 ans,,f-plus-40,f-alemanique,f-homme,Développement durable,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Nick+Beglinger”,https://ch.linkedin.com/in/nick-beglinger-84a23b,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-nick-beglinger.html
4,Marc Bernegger,marc-bernegger,"Entrepreneur en fintech et investisseur, Zurich",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,marc_p_bernegger.jpg,Beechpasty, ,39 ans,,f-moins-40,f-alemanique,f-homme,Finance,«Apple pourrait ainsi devenir un acteur majeur en Suisse»|https://www.letemps.ch/economie/apple-pourrait-ainsi-devenir-un-acteur-majeur-suisse,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marc+Bernegger”,https://ch.linkedin.com/in/marcpbernegger,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-marc-bernegger.html
5,Sonja Betschart,sonja-betschart,"Cofondatrice de WeRobotics, Genève",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,sonja_betschart.jpg,© David Wagnières,New,48 ans,,f-plus-40,f-romand,f-femme,Recherche,L’Américain WeRobotics s’installe à Genève|https://www.letemps.ch/economie/lamericain-werobotics-sinstalle-geneve,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sonja+Betschart”,https://ch.linkedin.com/in/sonjabetschart,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-sonja-betschart.html
6,Lucas Betschart,lucas-betschart,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",f-facilitateurs,Facilitateurs,Enabler,lucas_betschart.jpg,Keystone Images,New,26 ans,,f-moins-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Lucas+Betschart”,https://ch.linkedin.com/in/lucasbetschart,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-lucas-betschart.html
7,Jurgi Camblong,jurgi-camblong,"Cofondateur et CEO de Sophia Genetics, Genève",f-entrepreneurs,Entrepreneurs,Unicorn raisers,jurgi_camblong.jpg,© Tina Sturzenegger,,40 ans,,f-plus-40,f-romand,f-homme,Recherche,«Le fondateur de Sophia Genetics nommé entrepreneur de l'année» | https://www.letemps.ch/economie/fondateur-sophia-genetics-nomme-entrepreneur-lannee,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jurgi+Camblong”,https://www.linkedin.com/in/jurgicamblong/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-jurgi-camblong.html
8,Nicoletta Casanova,nicoletta-casanova,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",f-leaders,Leaders,Tech Leaders,nicoletta_casanova.jpg,© Claudio Bader,New,47 ans,,f-plus-40,f-italienne,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Nicoletta+Casanova”,https://www.linkedin.com/in/nicoletta-casanova-61b249/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-nicoletta-casanova.html
9,Filippo Catalano,filippo-catalano,"CIO du groupe Nestlé, Vevey",f-grandes-entreprises,Grandes entreprises,Corporates,filippo_catalano.jpg,© François Wavre|Lundi 13,New,46 ans,,f-plus-40,f-romand,f-homme,Agroalimentaire,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Filippo+Catalano”,https://www.linkedin.com/in/filippocatalano/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-filippo-catalano.html
